Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,org:resource,variant,variant-index,creator
Case4,Resolve ticket,Value 2,2010-12-16 07:08:19.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case4,Closed,Value 5,2011-02-12 13:40:42.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case4,End,End,2011-02-12 13:40:42.000,Variant 1,1,End,End,End,End,End,End
Case5,Start,Start,2012-04-03 12:08:32.000,Variant 9,9,Start,Start,Start,Start,Start,Start
Case5,Assign seriousness,Value 9,2012-04-03 12:08:32.000,Variant 9,9,Assign seriousness,complete,Value 9,Variant 9,9,Fluxicon Disco
Case5,Take in charge ticket,Value 10,2012-04-03 12:45:33.000,Variant 9,9,Take in charge ticket,complete,Value 10,Variant 9,9,Fluxicon Disco
Case5,Resolve ticket,Value 10,2012-04-03 12:47:22.000,Variant 9,9,Resolve ticket,complete,Value 10,Variant 9,9,Fluxicon Disco
Case5,Take in charge ticket,Value 10,2012-04-03 13:15:02.000,Variant 9,9,Take in charge ticket,complete,Value 10,Variant 9,9,Fluxicon Disco
Case5,Resolve ticket,Value 10,2012-04-03 15:07:28.000,Variant 9,9,Resolve ticket,complete,Value 10,Variant 9,9,Fluxicon Disco
Case5,Closed,Value 5,2012-05-25 12:10:28.000,Variant 9,9,Closed,complete,Value 5,Variant 9,9,Fluxicon Disco
Case5,End,End,2012-05-25 12:10:28.000,Variant 9,9,End,End,End,End,End,End
Case6,Start,Start,2011-10-25 14:13:58.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case6,Assign seriousness,Value 2,2011-10-25 14:13:58.000,Variant 1,1,Assign seriousness,complete,Value 2,Variant 1,1,Fluxicon Disco
Case6,Take in charge ticket,Value 2,2011-10-25 14:58:55.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case6,Resolve ticket,Value 2,2011-10-26 08:54:46.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case6,Closed,Value 5,2011-12-10 15:20:56.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case6,End,End,2011-12-10 15:20:56.000,Variant 1,1,End,End,End,End,End,End
Case7,Start,Start,2013-11-06 09:47:35.000,Variant 23,23,Start,Start,Start,Start,Start,Start
Case7,Assign seriousness,Value 1,2013-11-06 09:47:35.000,Variant 23,23,Assign seriousness,complete,Value 1,Variant 23,23,Fluxicon Disco
Case7,Assign seriousness,Value 1,2013-11-06 09:48:53.000,Variant 23,23,Assign seriousness,complete,Value 1,Variant 23,23,Fluxicon Disco
Case7,Assign seriousness,Value 2,2013-11-22 07:00:08.000,Variant 23,23,Assign seriousness,complete,Value 2,Variant 23,23,Fluxicon Disco
Case7,Take in charge ticket,Value 11,2013-11-25 07:18:07.000,Variant 23,23,Take in charge ticket,complete,Value 11,Variant 23,23,Fluxicon Disco
Case7,Resolve ticket,Value 11,2013-11-25 07:57:19.000,Variant 23,23,Resolve ticket,complete,Value 11,Variant 23,23,Fluxicon Disco
Case7,Closed,Value 3,2013-12-10 07:57:37.000,Variant 23,23,Closed,complete,Value 3,Variant 23,23,Fluxicon Disco
Case7,End,End,2013-12-10 07:57:37.000,Variant 23,23,End,End,End,End,End,End
Case8,Start,Start,2012-07-05 07:30:32.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case8,Assign seriousness,Value 1,2012-07-05 07:30:32.000,Variant 1,1,Assign seriousness,complete,Value 1,Variant 1,1,Fluxicon Disco
Case8,Take in charge ticket,Value 6,2012-07-05 08:25:45.000,Variant 1,1,Take in charge ticket,complete,Value 6,Variant 1,1,Fluxicon Disco
Case8,Resolve ticket,Value 6,2012-07-05 08:44:46.000,Variant 1,1,Resolve ticket,complete,Value 6,Variant 1,1,Fluxicon Disco
Case8,Closed,Value 5,2012-09-02 07:40:27.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case8,End,End,2012-09-02 07:40:27.000,Variant 1,1,End,End,End,End,End,End
Case9,Start,Start,2010-05-07 12:02:21.000,Variant 7,7,Start,Start,Start,Start,Start,Start
Case9,Insert ticket,Value 12,2010-05-07 12:02:21.000,Variant 7,7,Insert ticket,complete,Value 12,Variant 7,7,Fluxicon Disco
Case9,Assign seriousness,Value 12,2010-05-07 12:02:34.000,Variant 7,7,Assign seriousness,complete,Value 12,Variant 7,7,Fluxicon Disco
Case9,Take in charge ticket,Value 6,2010-05-24 09:26:28.000,Variant 7,7,Take in charge ticket,complete,Value 6,Variant 7,7,Fluxicon Disco
Case9,Resolve ticket,Value 12,2010-05-25 14:35:44.000,Variant 7,7,Resolve ticket,complete,Value 12,Variant 7,7,Fluxicon Disco
Case9,Closed,Value 5,2010-06-09 14:35:56.000,Variant 7,7,Closed,complete,Value 5,Variant 7,7,Fluxicon Disco
Case9,End,End,2010-06-09 14:35:56.000,Variant 7,7,End,End,End,End,End,End
Case10,Start,Start,2010-02-10 07:50:20.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case10,Assign seriousness,Value 2,2010-02-10 07:50:20.000,Variant 1,1,Assign seriousness,complete,Value 2,Variant 1,1,Fluxicon Disco
Case10,Take in charge ticket,Value 2,2010-03-19 07:47:06.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case10,Resolve ticket,Value 2,2010-03-19 07:47:13.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case10,Closed,Value 5,2010-04-03 06:47:38.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case10,End,End,2010-04-03 06:47:38.000,Variant 1,1,End,End,End,End,End,End
Case11,Start,Start,2011-12-21 14:24:41.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case11,Assign seriousness,Value 4,2011-12-21 14:24:41.000,Variant 1,1,Assign seriousness,complete,Value 4,Variant 1,1,Fluxicon Disco
Case11,Take in charge ticket,Value 4,2011-12-21 14:25:34.000,Variant 1,1,Take in charge ticket,complete,Value 4,Variant 1,1,Fluxicon Disco
Case11,Resolve ticket,Value 4,2011-12-22 08:55:43.000,Variant 1,1,Resolve ticket,complete,Value 4,Variant 1,1,Fluxicon Disco
Case11,Closed,Value 5,2012-01-21 14:30:31.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case11,End,End,2012-01-21 14:30:31.000,Variant 1,1,End,End,End,End,End,End
Case12,Start,Start,2013-03-18 09:47:34.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case12,Assign seriousness,Value 4,2013-03-18 09:47:34.000,Variant 1,1,Assign seriousness,complete,Value 4,Variant 1,1,Fluxicon Disco
Case12,Take in charge ticket,Value 2,2013-03-18 14:03:49.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case12,Resolve ticket,Value 2,2013-04-03 06:13:38.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case12,Closed,Value 3,2013-04-18 06:13:53.000,Variant 1,1,Closed,complete,Value 3,Variant 1,1,Fluxicon Disco
Case12,End,End,2013-04-18 06:13:53.000,Variant 1,1,End,End,End,End,End,End
Case13,Start,Start,2012-12-17 08:47:49.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case13,Assign seriousness,Value 4,2012-12-17 08:47:49.000,Variant 1,1,Assign seriousness,complete,Value 4,Variant 1,1,Fluxicon Disco
Case13,Take in charge ticket,Value 4,2013-01-02 08:22:43.000,Variant 1,1,Take in charge ticket,complete,Value 4,Variant 1,1,Fluxicon Disco
Case13,Resolve ticket,Value 4,2013-01-04 09:29:36.000,Variant 1,1,Resolve ticket,complete,Value 4,Variant 1,1,Fluxicon Disco
Case13,Closed,Value 3,2013-01-19 09:29:51.000,Variant 1,1,Closed,complete,Value 3,Variant 1,1,Fluxicon Disco
Case13,End,End,2013-01-19 09:29:51.000,Variant 1,1,End,End,End,End,End,End
Case14,Start,Start,2011-07-05 12:47:08.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case14,Assign seriousness,Value 13,2011-07-05 12:47:08.000,Variant 1,1,Assign seriousness,complete,Value 13,Variant 1,1,Fluxicon Disco
Case14,Take in charge ticket,Value 13,2011-07-05 12:47:22.000,Variant 1,1,Take in charge ticket,complete,Value 13,Variant 1,1,Fluxicon Disco
Case14,Resolve ticket,Value 13,2011-07-05 12:52:37.000,Variant 1,1,Resolve ticket,complete,Value 13,Variant 1,1,Fluxicon Disco
Case14,Closed,Value 5,2011-08-05 12:50:21.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case14,End,End,2011-08-05 12:50:21.000,Variant 1,1,End,End,End,End,End,End
Case15,Start,Start,2013-02-20 08:58:27.000,Variant 4,4,Start,Start,Start,Start,Start,Start
Case15,Assign seriousness,Value 2,2013-02-20 08:58:27.000,Variant 4,4,Assign seriousness,complete,Value 2,Variant 4,4,Fluxicon Disco
Case15,Assign seriousness,Value 2,2013-03-08 07:25:42.000,Variant 4,4,Assign seriousness,complete,Value 2,Variant 4,4,Fluxicon Disco
Case15,Take in charge ticket,Value 9,2013-03-08 07:30:43.000,Variant 4,4,Take in charge ticket,complete,Value 9,Variant 4,4,Fluxicon Disco
Case15,Resolve ticket,Value 9,2013-03-08 07:34:08.000,Variant 4,4,Resolve ticket,complete,Value 9,Variant 4,4,Fluxicon Disco
Case15,Closed,Value 3,2013-03-23 07:34:25.000,Variant 4,4,Closed,complete,Value 3,Variant 4,4,Fluxicon Disco
Case15,End,End,2013-03-23 07:34:25.000,Variant 4,4,End,End,End,End,End,End
Case16,Start,Start,2012-02-22 13:16:52.000,Variant 12,12,Start,Start,Start,Start,Start,Start
Case16,Assign seriousness,Value 1,2012-02-22 13:16:52.000,Variant 12,12,Assign seriousness,complete,Value 1,Variant 12,12,Fluxicon Disco
Case16,Take in charge ticket,Value 9,2012-02-22 15:14:07.000,Variant 12,12,Take in charge ticket,complete,Value 9,Variant 12,12,Fluxicon Disco
Case16,Take in charge ticket,Value 1,2012-02-22 15:23:57.000,Variant 12,12,Take in charge ticket,complete,Value 1,Variant 12,12,Fluxicon Disco
Case16,Resolve ticket,Value 9,2012-02-23 08:47:38.000,Variant 12,12,Resolve ticket,complete,Value 9,Variant 12,12,Fluxicon Disco
Case16,Closed,Value 5,2012-03-24 13:20:19.000,Variant 12,12,Closed,complete,Value 5,Variant 12,12,Fluxicon Disco
Case16,End,End,2012-03-24 13:20:19.000,Variant 12,12,End,End,End,End,End,End
Case17,Start,Start,2011-10-14 06:10:47.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case17,Assign seriousness,Value 1,2011-10-14 06:10:47.000,Variant 1,1,Assign seriousness,complete,Value 1,Variant 1,1,Fluxicon Disco
Case17,Take in charge ticket,Value 2,2011-11-02 15:17:52.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case17,Resolve ticket,Value 2,2011-11-09 12:31:37.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case17,Closed,Value 5,2011-11-24 14:57:55.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case17,End,End,2011-11-24 14:57:55.000,Variant 1,1,End,End,End,End,End,End
Case18,Start,Start,2013-03-01 15:06:11.000,Variant 6,6,Start,Start,Start,Start,Start,Start
Case18,Assign seriousness,Value 1,2013-03-01 15:06:11.000,Variant 6,6,Assign seriousness,complete,Value 1,Variant 6,6,Fluxicon Disco
Case18,Take in charge ticket,Value 1,2013-03-18 13:04:03.000,Variant 6,6,Take in charge ticket,complete,Value 1,Variant 6,6,Fluxicon Disco
Case18,Resolve ticket,Value 1,2013-03-19 09:22:40.000,Variant 6,6,Resolve ticket,complete,Value 1,Variant 6,6,Fluxicon Disco
Case18,Resolve ticket,Value 1,2013-03-19 09:22:40.000,Variant 6,6,Resolve ticket,complete,Value 1,Variant 6,6,Fluxicon Disco
Case18,Closed,Value 3,2013-04-03 08:23:01.000,Variant 6,6,Closed,complete,Value 3,Variant 6,6,Fluxicon Disco
Case18,End,End,2013-04-03 08:23:01.000,Variant 6,6,End,End,End,End,End,End
Case19,Start,Start,2010-07-07 06:54:04.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case19,Assign seriousness,Value 2,2010-07-07 06:54:04.000,Variant 1,1,Assign seriousness,complete,Value 2,Variant 1,1,Fluxicon Disco
Case19,Take in charge ticket,Value 7,2010-07-09 09:10:52.000,Variant 1,1,Take in charge ticket,complete,Value 7,Variant 1,1,Fluxicon Disco
Case19,Resolve ticket,Value 7,2010-07-09 09:11:18.000,Variant 1,1,Resolve ticket,complete,Value 7,Variant 1,1,Fluxicon Disco
Case19,Closed,Value 5,2010-08-07 07:00:22.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case19,End,End,2010-08-07 07:00:22.000,Variant 1,1,End,End,End,End,End,End
Case20,Start,Start,2013-05-09 06:10:37.000,Variant 2,2,Start,Start,Start,Start,Start,Start
Case20,Assign seriousness,Value 14,2013-05-09 06:10:37.000,Variant 2,2,Assign seriousness,complete,Value 14,Variant 2,2,Fluxicon Disco
Case20,Take in charge ticket,Value 9,2013-06-04 12:33:01.000,Variant 2,2,Take in charge ticket,complete,Value 9,Variant 2,2,Fluxicon Disco
Case20,Wait,Value 9,2013-06-10 08:06:43.000,Variant 2,2,Wait,complete,Value 9,Variant 2,2,Fluxicon Disco
Case20,Resolve ticket,Value 9,2013-06-19 08:12:02.000,Variant 2,2,Resolve ticket,complete,Value 9,Variant 2,2,Fluxicon Disco
Case20,Closed,Value 3,2013-07-04 08:12:15.000,Variant 2,2,Closed,complete,Value 3,Variant 2,2,Fluxicon Disco
Case20,End,End,2013-07-04 08:12:15.000,Variant 2,2,End,End,End,End,End,End
Case21,Start,Start,2011-01-14 14:15:21.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case21,Assign seriousness,Value 8,2011-01-14 14:15:21.000,Variant 1,1,Assign seriousness,complete,Value 8,Variant 1,1,Fluxicon Disco
Case21,Take in charge ticket,Value 2,2011-01-27 07:06:37.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case21,Resolve ticket,Value 2,2011-01-27 09:19:15.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case21,Closed,Value 5,2011-02-26 09:19:37.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case21,End,End,2011-02-26 09:19:37.000,Variant 1,1,End,End,End,End,End,End
Case22,Start,Start,2012-07-23 06:49:04.000,Variant 2,2,Start,Start,Start,Start,Start,Start
Case22,Assign seriousness,Value 1,2012-07-23 06:49:04.000,Variant 2,2,Assign seriousness,complete,Value 1,Variant 2,2,Fluxicon Disco
Case22,Take in charge ticket,Value 1,2012-07-23 06:49:14.000,Variant 2,2,Take in charge ticket,complete,Value 1,Variant 2,2,Fluxicon Disco
Case22,Wait,Value 1,2012-07-23 07:51:59.000,Variant 2,2,Wait,complete,Value 1,Variant 2,2,Fluxicon Disco
Case22,Resolve ticket,Value 1,2012-08-27 09:05:23.000,Variant 2,2,Resolve ticket,complete,Value 1,Variant 2,2,Fluxicon Disco
Case22,Closed,Value 3,2012-09-11 09:05:33.000,Variant 2,2,Closed,complete,Value 3,Variant 2,2,Fluxicon Disco
Case22,End,End,2012-09-11 09:05:33.000,Variant 2,2,End,End,End,End,End,End
Case23,Start,Start,2012-12-19 15:33:23.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case23,Assign seriousness,Value 13,2012-12-19 15:33:23.000,Variant 1,1,Assign seriousness,complete,Value 13,Variant 1,1,Fluxicon Disco
Case23,Take in charge ticket,Value 2,2013-01-03 07:26:14.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case23,Resolve ticket,Value 1,2013-01-22 14:50:53.000,Variant 1,1,Resolve ticket,complete,Value 1,Variant 1,1,Fluxicon Disco
Case23,Closed,Value 3,2013-02-06 14:51:06.000,Variant 1,1,Closed,complete,Value 3,Variant 1,1,Fluxicon Disco
Case23,End,End,2013-02-06 14:51:06.000,Variant 1,1,End,End,End,End,End,End
Case24,Start,Start,2010-04-27 08:49:56.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case24,Assign seriousness,Value 2,2010-04-27 08:49:56.000,Variant 1,1,Assign seriousness,complete,Value 2,Variant 1,1,Fluxicon Disco
Case24,Take in charge ticket,Value 2,2010-06-08 10:06:56.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case24,Resolve ticket,Value 2,2010-06-08 13:46:16.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case24,Closed,Value 5,2010-06-23 13:46:28.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case24,End,End,2010-06-23 13:46:28.000,Variant 1,1,End,End,End,End,End,End
Case25,Start,Start,2010-12-30 08:27:17.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case25,Assign seriousness,Value 13,2010-12-30 08:27:17.000,Variant 1,1,Assign seriousness,complete,Value 13,Variant 1,1,Fluxicon Disco
Case25,Take in charge ticket,Value 2,2010-12-30 12:14:04.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case25,Resolve ticket,Value 2,2010-12-30 14:16:35.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case25,Closed,Value 5,2011-02-16 08:30:28.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case25,End,End,2011-02-16 08:30:28.000,Variant 1,1,End,End,End,End,End,End
Case26,Start,Start,2011-03-31 06:28:47.000,Variant 3,3,Start,Start,Start,Start,Start,Start
Case26,Assign seriousness,Value 2,2011-03-31 06:28:47.000,Variant 3,3,Assign seriousness,complete,Value 2,Variant 3,3,Fluxicon Disco
Case26,Take in charge ticket,Value 2,2011-03-31 06:31:59.000,Variant 3,3,Take in charge ticket,complete,Value 2,Variant 3,3,Fluxicon Disco
Case26,Wait,Value 2,2011-03-31 07:39:41.000,Variant 3,3,Wait,complete,Value 2,Variant 3,3,Fluxicon Disco
Case26,Take in charge ticket,Value 2,2011-03-31 10:00:28.000,Variant 3,3,Take in charge ticket,complete,Value 2,Variant 3,3,Fluxicon Disco
Case26,Resolve ticket,Value 2,2011-03-31 10:00:41.000,Variant 3,3,Resolve ticket,complete,Value 2,Variant 3,3,Fluxicon Disco
Case26,Closed,Value 5,2011-05-05 08:50:46.000,Variant 3,3,Closed,complete,Value 5,Variant 3,3,Fluxicon Disco
Case26,End,End,2011-05-05 08:50:46.000,Variant 3,3,End,End,End,End,End,End
Case27,Start,Start,2011-11-24 13:02:16.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case27,Assign seriousness,Value 1,2011-11-24 13:02:16.000,Variant 1,1,Assign seriousness,complete,Value 1,Variant 1,1,Fluxicon Disco
Case27,Take in charge ticket,Value 1,2011-11-24 13:02:35.000,Variant 1,1,Take in charge ticket,complete,Value 1,Variant 1,1,Fluxicon Disco
Case27,Resolve ticket,Value 13,2011-12-12 08:04:47.000,Variant 1,1,Resolve ticket,complete,Value 13,Variant 1,1,Fluxicon Disco
Case27,Closed,Value 5,2011-12-27 08:05:04.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case27,End,End,2011-12-27 08:05:04.000,Variant 1,1,End,End,End,End,End,End
Case28,Start,Start,2013-10-25 14:53:59.000,Variant 55,55,Start,Start,Start,Start,Start,Start
Case28,Assign seriousness,Value 9,2013-10-25 14:53:59.000,Variant 55,55,Assign seriousness,complete,Value 9,Variant 55,55,Fluxicon Disco
Case28,Take in charge ticket,Value 9,2013-10-25 14:54:05.000,Variant 55,55,Take in charge ticket,complete,Value 9,Variant 55,55,Fluxicon Disco
Case28,Create SW anomaly,Value 9,2013-10-25 14:54:12.000,Variant 55,55,Create SW anomaly,complete,Value 9,Variant 55,55,Fluxicon Disco
Case28,Require upgrade,Value 9,2013-10-25 14:54:23.000,Variant 55,55,Require upgrade,complete,Value 9,Variant 55,55,Fluxicon Disco
Case28,Require upgrade,Value 1,2013-11-14 14:55:48.000,Variant 55,55,Require upgrade,complete,Value 1,Variant 55,55,Fluxicon Disco
Case28,Resolve ticket,Value 1,2013-12-23 07:08:05.000,Variant 55,55,Resolve ticket,complete,Value 1,Variant 55,55,Fluxicon Disco
Case28,End,End,2013-12-23 07:08:05.000,Variant 55,55,End,End,End,End,End,End
Case29,Start,Start,2012-07-30 09:07:32.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case29,Assign seriousness,Value 1,2012-07-30 09:07:32.000,Variant 1,1,Assign seriousness,complete,Value 1,Variant 1,1,Fluxicon Disco
Case29,Take in charge ticket,Value 1,2012-07-30 09:07:40.000,Variant 1,1,Take in charge ticket,complete,Value 1,Variant 1,1,Fluxicon Disco
Case29,Resolve ticket,Value 1,2012-07-30 11:29:40.000,Variant 1,1,Resolve ticket,complete,Value 1,Variant 1,1,Fluxicon Disco
Case29,Closed,Value 5,2012-09-14 09:10:38.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case29,End,End,2012-09-14 09:10:38.000,Variant 1,1,End,End,End,End,End,End
Case30,Start,Start,2011-01-21 08:47:20.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case30,Assign seriousness,Value 2,2011-01-21 08:47:20.000,Variant 1,1,Assign seriousness,complete,Value 2,Variant 1,1,Fluxicon Disco
Case30,Take in charge ticket,Value 2,2011-02-07 08:19:45.000,Variant 1,1,Take in charge ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case30,Resolve ticket,Value 2,2011-02-10 08:01:20.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case30,Closed,Value 5,2011-02-25 08:01:35.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case30,End,End,2011-02-25 08:01:35.000,Variant 1,1,End,End,End,End,End,End
Case31,Start,Start,2013-04-15 11:41:20.000,Variant 45,45,Start,Start,Start,Start,Start,Start
Case31,Assign seriousness,Value 4,2013-04-15 11:41:20.000,Variant 45,45,Assign seriousness,complete,Value 4,Variant 45,45,Fluxicon Disco
Case31,Take in charge ticket,Value 9,2013-04-18 06:06:11.000,Variant 45,45,Take in charge ticket,complete,Value 9,Variant 45,45,Fluxicon Disco
Case31,Create SW anomaly,Value 9,2013-04-18 06:18:02.000,Variant 45,45,Create SW anomaly,complete,Value 9,Variant 45,45,Fluxicon Disco
Case31,Require upgrade,Value 9,2013-04-18 06:18:23.000,Variant 45,45,Require upgrade,complete,Value 9,Variant 45,45,Fluxicon Disco
Case31,Resolve ticket,Value 9,2013-05-15 12:30:39.000,Variant 45,45,Resolve ticket,complete,Value 9,Variant 45,45,Fluxicon Disco
Case31,Closed,Value 3,2013-05-30 12:31:00.000,Variant 45,45,Closed,complete,Value 3,Variant 45,45,Fluxicon Disco
Case31,End,End,2013-05-30 12:31:00.000,Variant 45,45,End,End,End,End,End,End
Case32,Start,Start,2011-04-27 06:38:44.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case32,Assign seriousness,Value 8,2011-04-27 06:38:44.000,Variant 1,1,Assign seriousness,complete,Value 8,Variant 1,1,Fluxicon Disco
Case32,Take in charge ticket,Value 8,2011-04-27 11:46:13.000,Variant 1,1,Take in charge ticket,complete,Value 8,Variant 1,1,Fluxicon Disco
Case32,Resolve ticket,Value 2,2011-04-28 07:18:08.000,Variant 1,1,Resolve ticket,complete,Value 2,Variant 1,1,Fluxicon Disco
Case32,Closed,Value 5,2011-06-04 06:40:30.000,Variant 1,1,Closed,complete,Value 5,Variant 1,1,Fluxicon Disco
Case32,End,End,2011-06-04 06:40:30.000,Variant 1,1,End,End,End,End,End,End
Case33,Start,Start,2013-04-29 12:22:48.000,Variant 1,1,Start,Start,Start,Start,Start,Start
Case33,Assign seriousness,Value 14,2013-04-29 12:22:48.000,Variant 1,1,Assign seriousness,complete,Value 14,Variant 1,1,Fluxicon Disco
Case33,Take in charge ticket,Value 14,2013-05-14 13:53:46.000,Variant 1,1,Take in charge ticket,complete,Value 14,Variant 1,1,Fluxicon Disco
Case33,Resolve ticket,Value 14,2013-05-15 09:19:05.000,Variant 1,1,Resolve ticket,complete,Value 14,Variant 1,1,Fluxicon Disco
Case33,Closed,Value 3,2013-05-30 09:19:20.000,Variant 1,1,Closed,complete,Value 3,Variant 1,1,Fluxicon Disco
